candidate_id,rank,score,reasoning
CAND_0011687,1,0.6325,Senior NLP Engineer with 7.8 yrs; 8 AI core skills; response rate 0.89.
CAND_0088025,2,0.6320,Staff Machine Learning Engineer with 8.6 yrs; 10 AI core skills; response rate 0.83.
CAND_0071974,3,0.6221,Senior AI Engineer with 7.8 yrs; 8 AI core skills; response rate 0.76.
CAND_0077337,4,0.6218,Staff Machine Learning Engineer with 7.0 yrs; 8 AI core skills; response rate 0.95.
CAND_0052328,5,0.6198,Recommendation Systems Engineer with 6.5 yrs; 6 AI core skills; response rate 0.79.
CAND_0041669,6,0.6165,Recommendation Systems Engineer with 8.0 yrs; 6 AI core skills; response rate 0.77.
CAND_0018499,7,0.6147,Senior Machine Learning Engineer with 7.2 yrs; 6 AI core skills; response rate 0.61.
CAND_0046525,8,0.6083,Senior Machine Learning Engineer with 6.1 yrs; 8 AI core skills; response rate 0.88.
CAND_0002025,9,0.6072,Senior AI Engineer with 5.9 yrs; 11 AI core skills; response rate 0.80.
CAND_0079387,10,0.6062,AI Engineer with 6.9 yrs; 5 AI core skills; response rate 0.81.
CAND_0078042,11,0.6056,Applied ML Engineer with 4.7 yrs; 6 AI core skills; response rate 0.91.
CAND_0070514,12,0.6042,AI Specialist with 5.5 yrs; 5 AI core skills; response rate 0.80.
CAND_0041610,13,0.5991,Recommendation Systems Engineer with 6.7 yrs; 6 AI core skills; response rate 0.52.
CAND_0099806,14,0.5979,AI Engineer with 4.6 yrs; 6 AI core skills; response rate 0.76.
CAND_0055905,15,0.5966,Senior Machine Learning Engineer with 8.1 yrs; 9 AI core skills; response rate 0.87.
CAND_0052682,16,0.5926,NLP Engineer with 6.6 yrs; 7 AI core skills; response rate 0.88.
CAND_0058688,17,0.5907,AI Engineer with 6.7 yrs; 6 AI core skills; response rate 0.74.
CAND_0028793,18,0.5861,Search Engineer with 7.2 yrs; 5 AI core skills; response rate 0.57.
CAND_0020708,19,0.5859,Search Engineer with 4.2 yrs; 8 AI core skills; response rate 0.84.
CAND_0096142,20,0.5851,Applied ML Engineer with 5.0 yrs; 5 AI core skills; response rate 0.84.
CAND_0053591,21,0.5847,AI Engineer with 5.3 yrs; 3 AI core skills; response rate 0.81.
CAND_0095619,22,0.5842,NLP Engineer with 15.6 yrs; 9 AI core skills; response rate 0.90.
CAND_0037944,23,0.5839,Senior Data Scientist with 4.9 yrs; 8 AI core skills; response rate 0.42.
CAND_0006418,24,0.5838,Machine Learning Engineer with 5.7 yrs; 6 AI core skills; response rate 0.92.
CAND_0073883,25,0.5834,AI Specialist with 5.3 yrs; 6 AI core skills; response rate 0.92.
CAND_0081846,26,0.5830,Lead AI Engineer with 6.7 yrs; 11 AI core skills; response rate 0.73.
CAND_0030468,27,0.5818,Senior Applied Scientist with 5.4 yrs; 6 AI core skills; response rate 0.78.
CAND_0098454,28,0.5817,AI Specialist with 6.6 yrs; 7 AI core skills; response rate 0.87.
CAND_0086022,29,0.5815,Senior Applied Scientist with 5.3 yrs; 11 AI core skills; response rate 0.55.
CAND_0064326,30,0.5814,Search Engineer with 7.6 yrs; 6 AI core skills; response rate 0.94.
CAND_0074735,31,0.5796,Applied ML Engineer with 5.5 yrs; 7 AI core skills; response rate 0.77.
CAND_0066999,32,0.5785,Recommendation Systems Engineer with 5.9 yrs; 7 AI core skills; response rate 0.63.
CAND_0083879,33,0.5785,Machine Learning Engineer with 7.1 yrs; 6 AI core skills; response rate 0.47.
CAND_0008295,34,0.5779,AI Research Engineer with 6.5 yrs; 2 AI core skills; response rate 0.89.
CAND_0008425,35,0.5775,Senior NLP Engineer with 7.8 yrs; 8 AI core skills; response rate 0.66.
CAND_0039754,36,0.5769,Senior Applied Scientist with 16.2 yrs; 11 AI core skills; response rate 0.81.
CAND_0018722,37,0.5768,Recommendation Systems Engineer with 6.6 yrs; 6 AI core skills; response rate 0.79.
CAND_0051004,38,0.5763,Senior Data Scientist with 4.7 yrs; 6 AI core skills; response rate 0.41.
CAND_0043637,39,0.5758,Junior ML Engineer with 5.5 yrs; 2 AI core skills; response rate 0.92.
CAND_0081053,40,0.5758,NLP Engineer with 5.4 yrs; 6 AI core skills; response rate 0.83.
CAND_0083852,41,0.5754,Data Scientist with 6.0 yrs; 5 AI core skills; response rate 0.85.
CAND_0036437,42,0.5752,Search Engineer with 4.8 yrs; 6 AI core skills; response rate 0.87.
CAND_0076482,43,0.5751,ML Engineer with 6.6 yrs; 5 AI core skills; response rate 0.86.
CAND_0054546,44,0.5742,AI Research Engineer with 4.9 yrs; 1 AI core skills; response rate 0.92.
CAND_0004402,45,0.5738,AI Research Engineer with 6.0 yrs; 4 AI core skills; response rate 0.83.
